id,date,mime,title,slug,url
1206,2025-10-22T19:24:22,video/mp4,1_HOME,1_home-2,http://161.22.44.59/~a49579wx/wp-content/uploads/1_HOME.mp4
894,2025-04-14T17:15:51,image/jpeg,2_Home_Online_Training-AboutUs-Img_1.jpg,2_home_online_training-aboutus-img_1-jpg-2,http://161.22.44.59/~a49579wx/wp-content/uploads/2025/04/2_Home_Online_Training-AboutUs-Img_1.jpg
895,2025-04-14T17:15:52,image/jpeg,2_Home_Online_Training-AboutUs-Img_2.jpg,2_home_online_training-aboutus-img_2-jpg-2,http://161.22.44.59/~a49579wx/wp-content/uploads/2025/04/2_Home_Online_Training-AboutUs-Img_2.jpg
896,2025-04-14T17:15:52,image/jpeg,2_Home_Online_Training-AboutUs-Img_3.jpg,2_home_online_training-aboutus-img_3-jpg-2,http://161.22.44.59/~a49579wx/wp-content/uploads/2025/04/2_Home_Online_Training-AboutUs-Img_3.jpg
891,2025-04-14T17:15:51,image/jpeg,2_Home_Online_Training-Classes_1.jpg,2_home_online_training-classes_1-jpg-2,http://161.22.44.59/~a49579wx/wp-content/uploads/2025/04/2_Home_Online_Training-Classes_1.jpg
892,2025-04-14T17:15:51,image/jpeg,2_Home_Online_Training-Classes_2.jpg,2_home_online_training-classes_2-jpg-2,http://161.22.44.59/~a49579wx/wp-content/uploads/2025/04/2_Home_Online_Training-Classes_2.jpg
893,2025-04-14T17:15:51,image/jpeg,2_Home_Online_Training-Classes_3.jpg,2_home_online_training-classes_3-jpg-2,http://161.22.44.59/~a49579wx/wp-content/uploads/2025/04/2_Home_Online_Training-Classes_3.jpg
890,2025-04-14T17:15:50,image/jpeg,2_Home_Online_Training-Hero.jpg,2_home_online_training-hero-jpg-2,http://161.22.44.59/~a49579wx/wp-content/uploads/2025/04/2_Home_Online_Training-Hero.jpg
897,2025-04-14T17:15:53,image/jpeg,2_Home_Online_Training-Testimonials_1.jpg,2_home_online_training-testimonials_1-jpg-2,http://161.22.44.59/~a49579wx/wp-content/uploads/2025/04/2_Home_Online_Training-Testimonials_1.jpg
898,2025-04-14T17:15:53,image/jpeg,2_Home_Online_Training-Testimonials_2.jpg,2_home_online_training-testimonials_2-jpg-2,http://161.22.44.59/~a49579wx/wp-content/uploads/2025/04/2_Home_Online_Training-Testimonials_2.jpg
899,2025-04-14T17:15:53,image/jpeg,2_Home_Online_Training-Testimonials_3.jpg,2_home_online_training-testimonials_3-jpg-2,http://161.22.44.59/~a49579wx/wp-content/uploads/2025/04/2_Home_Online_Training-Testimonials_3.jpg
889,2025-04-14T10:22:32,image/png,Consultoría de innovación tecnológica para empresas,favi-3,http://161.22.44.59/~a49579wx/wp-content/uploads/2025/04/favi.png
1208,2025-10-22T19:40:08,video/mp4,2_QUIENESSOMOS_02,2_quienessomos_02-2,http://161.22.44.59/~a49579wx/wp-content/uploads/2_QUIENESSOMOS_02.mp4
1210,2025-10-22T19:40:10,video/mp4,3_SERVICIOS,3_servicios-2,http://161.22.44.59/~a49579wx/wp-content/uploads/3_SERVICIOS.mp4
1212,2025-10-22T19:40:12,video/mp4,4_PRODUCTOS,4_productos-2,http://161.22.44.59/~a49579wx/wp-content/uploads/4_PRODUCTOS.mp4
1214,2025-10-22T19:40:15,video/mp4,5_SERVICIOS - DESARROLLO DE PRODUCTO,5_servicios-desarrollo-de-producto-2,http://161.22.44.59/~a49579wx/wp-content/uploads/5_SERVICIOS-DESARROLLO-DE-PRODUCTO.mp4
1216,2025-10-22T19:40:17,video/mp4,6_BLOG,6_blog-2,http://161.22.44.59/~a49579wx/wp-content/uploads/6_BLOG.mp4
924,2025-04-17T11:36:10,image/webp,¿Qué debe hacer una organización para asegurar su lugar en el futuro?,asegurar-futuro-empresas-2-2,http://161.22.44.59/~a49579wx/wp-content/uploads/asegurar-futuro-empresas.webp
978,2025-07-03T09:35:08,image/webp,asesoramiento-innovacion-tecnologica-ref,asesoramiento-innovacion-tecnologica-ref-2,http://161.22.44.59/~a49579wx/wp-content/uploads/asesoramiento-innovacion-tecnologica-ref.webp
1175,2025-10-21T17:14:07,image/webp,blog-4,blog-4-2,http://161.22.44.59/~a49579wx/wp-content/uploads/blog-4.webp
1177,2025-10-21T17:14:08,image/webp,blog-5,blog-5-2,http://161.22.44.59/~a49579wx/wp-content/uploads/blog-5.webp
1173,2025-10-21T17:14:05,image/webp,blog-6,blog-6-2,http://161.22.44.59/~a49579wx/wp-content/uploads/blog-6.webp
1144,2025-10-21T11:32:14,image/webp,blog-innovacion-tecnologica,blog-innovacion-tecnologica-2-2,http://161.22.44.59/~a49579wx/wp-content/uploads/blog-innovacion-tecnologica-1.webp
985,2025-07-10T12:40:36,image/webp,Blog sobre innovación tecnológica para empresas,blog-innovacion-tecnologica-2,http://161.22.44.59/~a49579wx/wp-content/uploads/blog-innovacion-tecnologica.webp
1149,2025-10-21T12:03:17,image/webp,blog_innovacion-tecnologica,blog_innovacion-tecnologica-2,http://161.22.44.59/~a49579wx/wp-content/uploads/blog_innovacion-tecnologica.webp
